label,team.name,date,PPDA
"AGF U19 - Brøndby U19, 5 - 1",AGF U19,"September 14, 2024 at 2:00:00 PM GMT+2",23.647058823529413
"AGF U19 - Brøndby U19, 5 - 1",Brøndby U19,"September 14, 2024 at 2:00:00 PM GMT+2",5.684210526315789
"AGF U19 - København U19, 0 - 3",AGF U19,"August 23, 2024 at 2:00:00 PM GMT+2",13.238095238095237
"AGF U19 - København U19, 0 - 3",København U19,"August 23, 2024 at 2:00:00 PM GMT+2",7.62962962962963
"AGF U19 - Midtjylland U19, 0 - 1",AGF U19,"September 28, 2024 at 2:00:00 PM GMT+2",18.454545454545453
"AGF U19 - Midtjylland U19, 0 - 1",Midtjylland U19,"September 28, 2024 at 2:00:00 PM GMT+2",8.11111111111111
"AGF U19 - Nordsjælland U19, 0 - 1",AGF U19,"October 26, 2024 at 2:00:00 PM GMT+2",12.565217391304348
"AGF U19 - Nordsjælland U19, 0 - 1",Nordsjælland U19,"October 26, 2024 at 2:00:00 PM GMT+2",12.705882352941176
"AGF U19 - Randers U19, 5 - 2",AGF U19,"October 19, 2024 at 2:00:00 PM GMT+2",11.166666666666666
"AGF U19 - Randers U19, 5 - 2",Randers U19,"October 19, 2024 at 2:00:00 PM GMT+2",11.0
"AaB U19 - København U19, 2 - 1",AaB U19,"September 28, 2024 at 1:00:00 PM GMT+2",16.473684210526315
"AaB U19 - København U19, 2 - 1",København U19,"September 28, 2024 at 1:00:00 PM GMT+2",4.096774193548387
"AaB U19 - OB U19, 1 - 0",AaB U19,"October 5, 2024 at 1:00:00 PM GMT+2",21.076923076923077
"AaB U19 - OB U19, 1 - 0",OB U19,"October 5, 2024 at 1:00:00 PM GMT+2",9.933333333333334
"AaB U19 - Randers U19, 0 - 3",AaB U19,"August 24, 2024 at 1:00:00 PM GMT+2",11.0
"AaB U19 - Randers U19, 0 - 3",Randers U19,"August 24, 2024 at 1:00:00 PM GMT+2",11.521739130434783
"Brøndby U19 - Horsens U19, 2 - 3",Brøndby U19,"September 22, 2024 at 12:30:00 PM GMT+2",13.333333333333334
"Brøndby U19 - Horsens U19, 2 - 3",Horsens U19,"September 22, 2024 at 12:30:00 PM GMT+2",18.272727272727273
"Brøndby U19 - Midtjylland U19, 4 - 0",Brøndby U19,"August 27, 2024 at 12:30:00 PM GMT+2",14.571428571428571
"Brøndby U19 - Midtjylland U19, 4 - 0",Midtjylland U19,"August 27, 2024 at 12:30:00 PM GMT+2",28.25
"Brøndby U19 - OB U19, 2 - 4",Brøndby U19,"August 31, 2024 at 12:30:00 PM GMT+2",14.8
"Brøndby U19 - OB U19, 2 - 4",OB U19,"August 31, 2024 at 12:30:00 PM GMT+2",11.45
"Brøndby U19 - Silkeborg U19, 2 - 3",Brøndby U19,"August 17, 2024 at 12:00:00 PM GMT+2",6.133333333333334
"Brøndby U19 - Silkeborg U19, 2 - 3",Silkeborg U19,"August 17, 2024 at 12:00:00 PM GMT+2",28.615384615384617
"Brøndby U19 - SønderjyskE U19, 5 - 2",Brøndby U19,"October 5, 2024 at 12:30:00 PM GMT+2",4.848484848484849
"Brøndby U19 - SønderjyskE U19, 5 - 2",SønderjyskE U19,"October 5, 2024 at 12:30:00 PM GMT+2",19.333333333333332
"Esbjerg U19 - AGF U19, 1 - 2",AGF U19,"August 16, 2024 at 2:00:00 PM GMT+2",13.777777777777779
"Esbjerg U19 - AGF U19, 1 - 2",Esbjerg U19,"August 16, 2024 at 2:00:00 PM GMT+2",6.523809523809524
"Esbjerg U19 - Nordsjælland U19, 0 - 5",Esbjerg U19,"September 21, 2024 at 12:00:00 PM GMT+2",21.8
"Esbjerg U19 - Nordsjælland U19, 0 - 5",Nordsjælland U19,"September 21, 2024 at 12:00:00 PM GMT+2",26.0
"Esbjerg U19 - SønderjyskE U19, 2 - 0",Esbjerg U19,"August 31, 2024 at 12:00:00 PM GMT+2",17.384615384615383
"Esbjerg U19 - SønderjyskE U19, 2 - 0",SønderjyskE U19,"August 31, 2024 at 12:00:00 PM GMT+2",8.148148148148149
"Esbjerg U19 - Vejle U19, 1 - 1 (E)",Esbjerg U19,"October 19, 2024 at 11:00:00 AM GMT+2",54.0
"Esbjerg U19 - Vejle U19, 1 - 1 (E)",Vejle U19,"October 19, 2024 at 11:00:00 AM GMT+2",4.6
"Horsens U19 - AGF U19, 1 - 1 (P)",AGF U19,"August 31, 2024 at 12:30:00 PM GMT+2",18.916666666666668
"Horsens U19 - AGF U19, 1 - 1 (P)",Horsens U19,"August 31, 2024 at 12:30:00 PM GMT+2",9.157894736842104
"Horsens U19 - Esbjerg U19, 2 - 0",Esbjerg U19,"September 28, 2024 at 12:30:00 PM GMT+2",6.695652173913044
"Horsens U19 - Esbjerg U19, 2 - 0",Horsens U19,"September 28, 2024 at 12:30:00 PM GMT+2",23.7
"Horsens U19 - København U19, 1 - 1",Horsens U19,"October 19, 2024 at 12:30:00 PM GMT+2",3.657142857142857
"Horsens U19 - København U19, 1 - 1",København U19,"October 19, 2024 at 12:30:00 PM GMT+2",26.22222222222222
"Horsens U19 - Midtjylland U19, 0 - 2",Horsens U19,"August 17, 2024 at 12:30:00 PM GMT+2",11.761904761904763
"Horsens U19 - Midtjylland U19, 0 - 2",Midtjylland U19,"August 17, 2024 at 12:30:00 PM GMT+2",5.809523809523809
"København U19 - Esbjerg U19, 9 - 1",Esbjerg U19,"October 5, 2024 at 3:00:00 PM GMT+2",10.478260869565217
"København U19 - Esbjerg U19, 9 - 1",København U19,"October 5, 2024 at 3:00:00 PM GMT+2",6.636363636363637
"København U19 - OB U19, 4 - 0",København U19,"September 21, 2024 at 1:00:00 PM GMT+2",26.09090909090909
"København U19 - OB U19, 4 - 0",OB U19,"September 21, 2024 at 1:00:00 PM GMT+2",11.8
"Lyngby U19 - Esbjerg U19, 1 - 1 (P)",Esbjerg U19,"August 24, 2024 at 1:00:00 PM GMT+2",13.210526315789474
"Lyngby U19 - Esbjerg U19, 1 - 1 (P)",Lyngby U19,"August 24, 2024 at 1:00:00 PM GMT+2",7.909090909090909
"Lyngby U19 - Silkeborg U19, 2 - 2 (P)",Lyngby U19,"October 19, 2024 at 1:00:00 PM GMT+2",15.208333333333334
"Lyngby U19 - Silkeborg U19, 2 - 2 (P)",Silkeborg U19,"October 19, 2024 at 1:00:00 PM GMT+2",30.8
"Lyngby U19 - SønderjyskE U19, 4 - 3",Lyngby U19,"September 21, 2024 at 1:00:00 PM GMT+2",7.888888888888889
"Lyngby U19 - SønderjyskE U19, 4 - 3",SønderjyskE U19,"September 21, 2024 at 1:00:00 PM GMT+2",23.0
"Lyngby U19 - Vejle U19, 0 - 1",Lyngby U19,"September 14, 2024 at 1:00:00 PM GMT+2",12.357142857142858
"Lyngby U19 - Vejle U19, 0 - 1",Vejle U19,"September 14, 2024 at 1:00:00 PM GMT+2",9.033333333333333
"Midtjylland U19 - Lyngby U19, 11 - 1",Lyngby U19,"October 5, 2024 at 1:00:00 PM GMT+2",23.0
"Midtjylland U19 - Lyngby U19, 11 - 1",Midtjylland U19,"October 5, 2024 at 1:00:00 PM GMT+2",6.821428571428571
"Midtjylland U19 - Randers U19, 1 - 2",Midtjylland U19,"September 21, 2024 at 1:00:00 PM GMT+2",5.173913043478261
