id,player.name,player.id,team.name,matchId,pass.recipient.name,pass.accurate,label,date,minute,second,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,shot.xg,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.name,possession.attack.xg
2263459843,O. Haugstrup,765207,AGF U19,5605871,F. Elkjær Andersen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,1,,,,,pass,"['back_pass', 'short_or_medium_pass']",51.0,51.0,40.0,46.0,,,,[],3.0,0.0,51.0,51.0,77.0,100.0,AGF U19,
2263459844,F. Elkjær Andersen,752351,AGF U19,5605871,,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,3,,,,,pass,"['forward_pass', 'long_pass', 'pass_to_final_third', 'progressive_pass']",40.0,46.0,77.0,100.0,,,,[],3.0,1.0,51.0,51.0,77.0,100.0,AGF U19,
2263459847,,0,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,8,,,,,game_interruption,['ball_out'],77.0,100.0,,,,,,[],3.0,2.0,51.0,51.0,77.0,100.0,AGF U19,
2263460307,M. Svane,679269,Esbjerg U19,5605871,A. Lund Jørgensen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,15,,,,,throw_in,[],22.0,0.0,41.0,9.0,,,,['throw_in'],16.0,0.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263459848,C. Storch,769069,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,17,,,,,duel,"['defensive_duel', 'ground_duel']",59.0,91.0,,,,,,['throw_in'],16.0,1.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460308,A. Lund Jørgensen,750795,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,17,,,,,duel,"['ground_duel', 'offensive_duel']",41.0,9.0,,,,,,['throw_in'],16.0,2.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460310,M. Engsted,766612,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,17,,,,,touch,"['progressive_run', 'carry']",37.0,3.0,,,59.0,6.0,,['throw_in'],16.0,3.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263459850,R. Düring,696293,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,23,,,,,duel,"['defensive_duel', 'ground_duel']",33.0,88.0,,,,,,['throw_in'],16.0,4.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460315,M. Engsted,766612,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,23,,,,,duel,"['ground_duel', 'offensive_duel']",67.0,12.0,,,,,,['throw_in'],16.0,5.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460317,M. Engsted,766612,Esbjerg U19,5605871,R. Zwinge,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,25,,,,,pass,"['back_pass', 'short_or_medium_pass']",59.0,6.0,37.0,5.0,,,,['throw_in'],16.0,6.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460318,R. Zwinge,766588,Esbjerg U19,5605871,C. Storch,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,30,,,,,pass,"['forward_pass', 'long_pass', 'loss', 'pass_to_final_third']",37.0,5.0,79.0,34.0,,,,['throw_in'],16.0,7.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263459852,C. Storch,769069,AGF U19,5605871,O. Haugstrup,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,33,,,,,pass,"['forward_pass', 'recovery', 'short_or_medium_pass']",21.0,66.0,34.0,82.0,,,,['throw_in'],16.0,8.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263459853,O. Haugstrup,765207,AGF U19,5605871,R. Düring,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,34,,,,,pass,"['short_or_medium_pass', 'under_pressure']",34.0,82.0,28.0,93.0,,,,['throw_in'],16.0,9.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263459854,R. Düring,696293,AGF U19,5605871,B. Baldursson,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,35,,,,,pass,"['forward_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",28.0,93.0,38.0,83.0,,,,['throw_in'],16.0,10.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263461006,B. Baldursson,835759,Esbjerg U19,5605871,S. Tranbjerg,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,37,,,,,pass,"['lateral_pass', 'recovery', 'counterpressing_recovery', 'short_or_medium_pass']",62.0,17.0,61.0,57.0,,,,['throw_in'],16.0,11.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460320,S. Tranbjerg,679279,Esbjerg U19,5605871,E. Omerovic,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,42,,,,,pass,"['back_pass', 'short_or_medium_pass']",61.0,57.0,44.0,52.0,,,,['throw_in'],16.0,12.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460321,E. Omerovic,679266,Esbjerg U19,5605871,R. Zwinge,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,45,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",44.0,52.0,46.0,18.0,,,,['throw_in'],16.0,13.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460322,R. Zwinge,766588,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,46,,,,,touch,['carry'],46.0,18.0,,,55.0,11.0,,['throw_in'],16.0,14.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460324,R. Zwinge,766588,Esbjerg U19,5605871,C. Storch,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,48,,,,,pass,"['forward_pass', 'long_pass', 'loss', 'pass_to_final_third', 'through_pass']",55.0,11.0,79.0,38.0,,,,['throw_in'],16.0,15.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263459855,C. Storch,769069,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,50,,,,,clearance,['head_pass'],21.0,62.0,,,,,,[],2.0,0.0,21.0,62.0,9.0,100.0,AGF U19,
2263459856,,0,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,54,,,,,game_interruption,['ball_out'],9.0,100.0,,,,,,[],2.0,1.0,21.0,62.0,9.0,100.0,AGF U19,
2263460327,M. Svane,679269,Esbjerg U19,5605871,C. Storch,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,6,,,,,throw_in,['loss'],88.0,0.0,89.0,34.0,,,,"['attack', 'throw_in']",14.0,0.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263459857,C. Storch,769069,AGF U19,5605871,W. Rygaard,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,7,,,,,interception,"['forward_pass', 'long_pass', 'pass']",11.0,66.0,35.0,86.0,,,,"['attack', 'throw_in']",14.0,1.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263459858,W. Rygaard,850107,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,9,,,,,duel,"['ground_duel', 'loss', 'offensive_duel']",35.0,86.0,,,,,,"['attack', 'throw_in']",14.0,2.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
