player.name,team.name,label,stoppedProgressCount,recoveredPossessionCount,totalDuels,stoppedProgressPercentage,recoveredPossessionPercentage
A. Barkarson,SønderjyskE,"AGF - SønderjyskE, 4 - 0",3,3,6,50.0,50.0
A. Barkarson,SønderjyskE,"Silkeborg - SønderjyskE, 1 - 0",2,1,5,40.0,20.0
A. Barkarson,SønderjyskE,"SønderjyskE - København, 0 - 2",2,1,4,50.0,25.0
A. Barkarson,SønderjyskE,"SønderjyskE - Lyngby, 1 - 1",6,1,8,75.0,12.5
A. Bjelland,Lyngby,"Lyngby - Brøndby, 0 - 2",3,0,5,60.0,0.0
A. Bjelland,Lyngby,"Lyngby - København, 0 - 2",6,3,7,85.71428571428571,42.857142857142854
A. Bjelland,Lyngby,"SønderjyskE - Lyngby, 1 - 1",7,1,7,100.0,14.285714285714285
A. Bruus,AaB,"AaB - Lyngby, 2 - 1",2,0,5,40.0,0.0
A. Buksa,Midtjylland,"AGF - Midtjylland, 1 - 1",1,1,2,50.0,50.0
A. Buksa,Midtjylland,"Midtjylland - AaB, 2 - 0",2,0,3,66.66666666666666,0.0
A. Buksa,Midtjylland,"Midtjylland - SønderjyskE, 3 - 2",3,1,4,75.0,25.0
A. Buksa,Midtjylland,"Silkeborg - Midtjylland, 1 - 3",2,1,3,66.66666666666666,33.33333333333333
A. Chiakha,København,"København - AGF, 3 - 2",1,1,2,50.0,50.0
A. Chiakha,København,"København - Brøndby, 3 - 1",1,0,2,50.0,0.0
A. Chiakha,København,"København - Viborg, 1 - 1",True,True,1,100.0,100.0
A. Chiakha,København,"Lyngby - København, 0 - 2",False,False,1,0.0,0.0
A. Diagne,AaB,"AaB - Brøndby, 0 - 4",2,1,2,100.0,50.0
A. Ementa,Viborg,"Randers - Viborg, 3 - 1",1,1,2,50.0,50.0
A. Ementa,Viborg,"Silkeborg - Viborg, 3 - 2",2,1,2,100.0,50.0
A. Ementa,Viborg,"SønderjyskE - Viborg, 2 - 2",False,False,1,0.0,0.0
A. Ementa,Viborg,"Vejle - Viborg, 0 - 5",False,False,1,0.0,0.0
