label,date,team.name,count
"AGF U19 - Brøndby U19, 5 - 1","September 14, 2024 at 2:00:00 PM GMT+2",AGF U19,21
"AGF U19 - Brøndby U19, 5 - 1","September 14, 2024 at 2:00:00 PM GMT+2",Brøndby U19,28
"AGF U19 - Midtjylland U19, 0 - 1","September 28, 2024 at 2:00:00 PM GMT+2",AGF U19,31
"AGF U19 - Midtjylland U19, 0 - 1","September 28, 2024 at 2:00:00 PM GMT+2",Midtjylland U19,43
"AaB U19 - København U19, 2 - 1","September 28, 2024 at 1:00:00 PM GMT+2",AaB U19,25
"AaB U19 - København U19, 2 - 1","September 28, 2024 at 1:00:00 PM GMT+2",København U19,40
"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",AaB U19,28
"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",Randers U19,49
"Brøndby U19 - Horsens U19, 2 - 3","September 22, 2024 at 12:30:00 PM GMT+2",Brøndby U19,30
"Brøndby U19 - Horsens U19, 2 - 3","September 22, 2024 at 12:30:00 PM GMT+2",Horsens U19,38
"Brøndby U19 - Midtjylland U19, 4 - 0","August 27, 2024 at 12:30:00 PM GMT+2",Brøndby U19,35
"Brøndby U19 - Midtjylland U19, 4 - 0","August 27, 2024 at 12:30:00 PM GMT+2",Midtjylland U19,59
"Brøndby U19 - OB U19, 2 - 4","August 31, 2024 at 12:30:00 PM GMT+2",Brøndby U19,22
"Brøndby U19 - OB U19, 2 - 4","August 31, 2024 at 12:30:00 PM GMT+2",OB U19,47
"Brøndby U19 - Silkeborg U19, 2 - 3","August 17, 2024 at 12:00:00 PM GMT+2",Brøndby U19,32
"Brøndby U19 - Silkeborg U19, 2 - 3","August 17, 2024 at 12:00:00 PM GMT+2",Silkeborg U19,23
"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",AGF U19,33
"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",Esbjerg U19,44
"Esbjerg U19 - Nordsjælland U19, 0 - 5","September 21, 2024 at 12:00:00 PM GMT+2",Esbjerg U19,22
"Esbjerg U19 - Nordsjælland U19, 0 - 5","September 21, 2024 at 12:00:00 PM GMT+2",Nordsjælland U19,48
"Esbjerg U19 - SønderjyskE U19, 2 - 0","August 31, 2024 at 12:00:00 PM GMT+2",Esbjerg U19,41
"Esbjerg U19 - SønderjyskE U19, 2 - 0","August 31, 2024 at 12:00:00 PM GMT+2",SønderjyskE U19,35
"Horsens U19 - AGF U19, 1 - 1 (P)","August 31, 2024 at 12:30:00 PM GMT+2",AGF U19,28
"Horsens U19 - AGF U19, 1 - 1 (P)","August 31, 2024 at 12:30:00 PM GMT+2",Horsens U19,42
"Horsens U19 - Esbjerg U19, 2 - 0","September 28, 2024 at 12:30:00 PM GMT+2",Esbjerg U19,35
"Horsens U19 - Esbjerg U19, 2 - 0","September 28, 2024 at 12:30:00 PM GMT+2",Horsens U19,20
"Horsens U19 - Midtjylland U19, 0 - 2","August 17, 2024 at 12:30:00 PM GMT+2",Horsens U19,28
